id,X,Y,group
0,304015.1622,2768330.6624,5
1,303998.4649,2768096.0993,5
2,303908.04245,2767913.96285,12
3,304026.05345,2767873.4062,12
4,304154.42595,2768294.1521,5
5,304237.2778,2768274.12545,5
6,304347.0675,2768217.56775,4
7,304144.5165,2768076.5272,4
8,304167.16705,2767962.36115,4
9,304203.09515,2767939.8896,0
10,304174.026,2767840.8625,12
11,304343.68925,2768094.7778,4
12,304353.75048,2768008.45883,1
13,304327.5532,2767893.1162,1
14,304459.8072,2768192.63345,4
15,304442.36785,2768089.6961,1
16,304568.03638,2768119.52658,7
17,304639.25862,2768161.42048,7
18,304525.1929,2767999.9691,1
19,304459.5495,2767913.9001,1
20,304474.98755,2767857.69525,1
21,304581.2805,2767915.4312,6
22,304551.468,2767788.2378,10
23,303983.29678,2767723.61938,12
24,304085.0641,2767759.2218,12
25,303967.7304,2767582.1442,12
26,304023.4417,2767682.239,12
27,304102.7422,2767572.9307,3
28,304154.1162,2767698.69715,3
29,304179.3196,2767578.85235,3
30,304274.8517,2767762.2655,0
31,304275.81307,2767666.54573,3
32,304411.71227,2767736.82173,1
33,304465.41905,2767743.68165,10
34,304240.14305,2767506.1552,3
35,304353.47395,2767592.09995,0
36,304396.9366,2767487.0032,10
37,304481.94815,2767417.8795,10
38,304341.06953,2767427.29698,0
39,304193.4452,2767323.5453,11
40,304210.1388,2767209.9936,11
41,304370.6852,2767342.3278,11
42,304837.5769,2768147.1276,2
43,304699.48205,2768036.889,6
44,304666.7554,2767937.8913,6
45,304791.68465,2768014.9868,6
46,304782.9013,2767912.35355,6
47,304975.67505,2768129.9318,6
48,304855.3209,2768004.7744,6
49,304942.1799,2767913.2142,9
50,305108.3045,2768008.5056,6
51,304816.047,2767748.5899,9
52,304755.0945,2767791.5559,9
53,304873.3438,2767889.8594,9
54,304831.35395,2767614.99975,10
55,305119.575,2767608.7038,8
56,305101.9174,2767795.1977,9
57,305164.7357,2767933.0127,6
58,305216.9082,2767875.0373,6
59,305297.4072,2767808.3153,6
60,305211.51395,2767641.1972,6
61,305069.9822,2767431.9856,8
62,304928.1039,2767260.2357,8
63,305013.3871,2767220.4254,8
64,305280.9287,2767290.6339,6
65,305197.3889,2767396.0403,8
