id,X,Y,group
0,304015.1622,2768330.6624,5
1,303908.04245,2767913.96285,12
2,304026.05345,2767873.4062,12
3,304154.42595,2768294.1521,5
4,304237.2778,2768274.12545,4
5,304347.0675,2768217.56775,4
6,304167.16705,2767962.36115,1
7,304203.09515,2767939.8896,1
8,304174.026,2767840.8625,1
9,304343.68925,2768094.7778,4
10,304353.75048,2768008.45883,4
11,304327.5532,2767893.1162,0
12,304459.8072,2768192.63345,7
13,304442.36785,2768089.6961,4
14,304568.03638,2768119.52658,7
15,304639.25862,2768161.42048,7
16,304449.66325,2767889.27375,0
17,303983.29678,2767723.61938,12
18,304085.0641,2767759.2218,12
19,303967.7304,2767582.1442,12
20,304023.4417,2767682.239,12
21,304102.7422,2767572.9307,3
22,304154.1162,2767698.69715,3
23,304179.3196,2767578.85235,3
24,304275.81307,2767666.54573,3
25,304411.71227,2767736.82173,0
26,304465.41905,2767743.68165,0
27,304240.14305,2767506.1552,3
28,304353.47395,2767592.09995,1
29,304396.9366,2767487.0032,10
30,304352.44575,2767442.13375,3
31,304481.94815,2767417.8795,10
32,304193.4452,2767323.5453,11
33,304371.34615,2767383.51955,0
34,304837.5769,2768147.1276,2
35,304699.48205,2768036.889,6
36,304666.7554,2767937.8913,6
37,304791.68465,2768014.9868,2
38,304782.9013,2767912.35355,6
39,304975.67505,2768129.9318,6
40,304942.1799,2767913.2142,9
41,304831.35395,2767614.99975,10
42,305101.9174,2767795.1977,9
43,305211.51395,2767641.1972,8
44,305069.9822,2767431.9856,8
45,305013.3871,2767220.4254,8
46,305197.3889,2767396.0403,8
