id,X,Y,group
0,304015.1622,2768330.6624,5
1,303908.04245,2767913.96285,1
2,304581.05595,2768165.24065,7
3,303959.49795,2767747.4182,12
4,303983.29678,2767723.61938,1
5,304085.0641,2767759.2218,1
6,303967.7304,2767582.1442,3
7,304023.7756,2767649.1345,3
8,304102.7422,2767572.9307,3
9,304154.1162,2767698.69715,1
10,304164.8366,2767596.3336,1
11,304275.81307,2767666.54573,0
12,304198.8187,2767559.35325,1
13,304288.47805,2767461.5336,0
14,304495.9666,2767432.7432,10
15,304193.4452,2767323.5453,11
16,304866.3012,2768165.9403,2
17,304940.2368,2767865.5488,9
18,304842.9754,2767622.7668,8
19,305119.575,2767608.7038,6
20,305101.9174,2767795.1977,6
21,305211.51395,2767641.1972,6
