id,name,ｘ,ｙ,weight
1,公館捷運站 2號出口,303934.45765,2767538.70339,10,-1
2,公館捷運站 3號出口,303870.14977,2767596.08191,10,
3,科技大樓捷運站,304859.20939,2768773.69132,6,
4,公館公車站,303928.58554,2767494.65040,8,
5,新生南公車站-台大,303656.14648,2768313.06530,5,
6,新生南公車站-新體,303966.51088,2768342.36639,3,
7,長興男宿,305042.19226,2767703.56323,8,
8,社科院旁公車站,304574.31121,2768205.38996,4,
9,台大癌醫公車站,304887.40500,2767469.49950,4,
10,基隆路自來水處公車站（男宿旁）,304976.77628,2767802.08217,4,
11,基隆路台科公車站,304644.96567,2767494.40378,3,
12,基隆路公館公車站,304161.98652,2767274.31593,2,
13,台電大樓公車站,303690.09026,2767788.18563,6,
