id,name,x,y,weight,distance
1,1,17,1401,2,50
2,2,21,893,2,-1
3,3,32,1077,3,-1
4,4,33,1124,7,-1
5,5,43,749,3,-1
6,6,68,617,1,-1
7,7,76,857,4,-1
8,8,104,974,10,-1
9,9,119,840,4,-1
10,10,120,699,6,-1
11,11,128,1418,12,-1
12,12,135,435,4,-1
13,13,139,545,5,-1
14,14,170,364,7,-1
15,15,177,209,9,-1
16,16,177,962,1,-1
17,17,193,669,2,-1
18,18,194,1213,18,-1
19,19,203,78,16,-1
20,20,206,1301,3,-1
21,21,233,435,4,-1
22,22,242,177,12,-1
23,23,251,244,5,-1
24,24,268,1058,3,-1
25,25,274,1403,2,-1
26,26,275,1272,7,-1
27,27,296,526,8,-1
28,28,335,274,2,-1
29,29,340,455,1,-1
30,30,342,677,10,-1
31,31,355,1462,11,-1
32,32,358,963,10,-1
33,33,366,462,7,-1
34,34,375,1262,9,-1
35,35,376,1159,3,-1
36,36,379,1474,5,-1
37,37,387,193,6,-1
38,38,387,955,7,-1
39,39,388,723,5,-1
40,40,392,1447,14,-1
41,41,427,715,13,-1
42,42,440,841,2,-1
43,43,444,901,13,-1
44,44,472,478,10,-1
45,45,487,1017,9,-1
46,46,492,106,1,-1
47,47,513,424,7,-1
48,48,514,1295,6,-1
49,49,516,904,12,-1
50,50,518,763,33,-1
51,51,519,1218,14,-1
52,52,528,317,15,-1
53,53,543,387,17,-1
54,54,544,1007,7,-1
55,55,560,277,12,-1
56,56,561,595,4,-1
57,57,564,397,5,-1
58,58,564,502,1,-1
59,59,584,832,3,-1
60,60,597,1224,5,-1
61,61,614,244,1,-1
62,62,619,1208,8,-1
63,63,638,431,9,-1
64,64,651,939,12,-1
65,65,652,1135,11,-1
66,66,683,969,12,-1
67,67,693,1147,5,-1
68,68,694,1178,7,-1
69,69,705,1476,3,-1
70,70,708,1375,14,-1
71,71,724,1345,15,-1
72,72,726,222,6,-1
73,73,732,910,8,-1
74,74,760,425,10,-1
75,75,779,274,12,-1
76,76,788,1286,7,-1
77,77,813,206,8,-1
78,78,819,858,5,-1
79,79,820,179,7,-1
80,80,831,1253,18,-1
81,81,836,559,15,-1
82,82,841,962,4,-1
83,83,848,1175,12,-1
84,84,852,1318,1,-1
85,85,867,701,2,-1
86,86,870,1464,10,-1
87,87,887,495,13,-1
88,88,889,1473,15,-1
89,89,902,677,12,-1
90,90,914,524,4,-1
91,91,929,339,2,-1
92,92,953,200,20,-1
93,93,957,159,13,-1
94,94,960,1179,7,-1
95,95,966,1254,16,-1
96,96,969,1102,13,-1
97,97,981,975,6,-1
98,98,982,1358,7,-1
99,99,986,1078,12,-1
100,100,1007,860,1,-1
101,101,1039,1036,10,-1
102,102,1043,888,9,-1
103,103,1049,1104,12,-1
104,104,1088,139,5,-1
105,105,1089,1183,6,-1
106,106,1096,1244,7,-1
107,107,1111,407,1,-1
108,108,1119,890,12,-1
109,109,1124,736,13,-1
110,110,1131,488,17,-1
111,111,1144,744,14,-1
112,112,1150,1290,10,-1
113,113,1154,1032,12,-1
114,114,1163,214,11,-1
115,115,1164,636,1,-1
116,116,1171,141,6,-1
117,117,1183,319,9,-1
118,118,1187,200,19,-1
119,119,1204,1137,12,-1
120,120,1206,1052,10,-1
121,121,1209,1035,1,-1
122,122,1211,14,3,-1
123,123,1211,1337,1,-1
124,124,1214,1499,7,-1
125,125,1217,142,11,-1
126,126,1218,756,12,-1
127,127,1230,353,14,-1
128,128,1254,108,4,-1
129,129,1254,1355,3,-1
130,130,1257,256,6,-1
131,131,1257,949,8,-1
132,132,1284,453,19,-1
133,133,1309,1477,12,-1
134,134,1312,430,11,-1
135,135,1320,251,10,-1
136,136,1345,785,7,-1
137,137,1356,597,6,-1
138,138,1371,749,15,-1
139,139,1377,1103,3,-1
140,140,1377,1318,11,-1
141,141,1382,1094,12,-1
142,142,1385,1139,1,-1
143,143,1386,1312,1,-1
144,144,1405,708,12,-1
145,145,1405,957,13,-1
146,146,1414,876,5,-1
147,147,1414,1282,7,-1
148,148,1418,1377,6,-1
149,149,1474,319,1,-1
150,150,1485,224,2,-1
