id,name,x,y,weight,distance
1,1,17,1401,-1,350
2,2,21,893,-1,-1
3,3,32,1077,-1,-1
4,4,33,1124,-1,-1
5,5,43,749,-1,-1
6,6,68,617,-1,-1
7,7,76,857,-1,-1
8,8,104,974,-1,-1
9,9,119,840,-1,-1
10,10,120,699,-1,-1
11,11,128,1418,-1,-1
12,12,135,435,-1,-1
13,13,139,545,-1,-1
14,14,170,364,-1,-1
15,15,177,209,-1,-1
16,16,177,962,-1,-1
17,17,193,669,-1,-1
18,18,194,1213,-1,-1
19,19,203,78,-1,-1
20,20,206,1301,-1,-1
21,21,233,435,-1,-1
22,22,242,177,-1,-1
23,23,251,244,-1,-1
24,24,268,1058,-1,-1
25,25,274,1403,-1,-1
26,26,275,1272,-1,-1
27,27,296,526,-1,-1
28,28,335,274,-1,-1
29,29,340,455,-1,-1
30,30,342,677,-1,-1
31,31,355,1462,-1,-1
32,32,358,963,-1,-1
33,33,366,462,-1,-1
34,34,375,1262,-1,-1
35,35,376,1159,-1,-1
36,36,379,1474,-1,-1
37,37,387,193,-1,-1
38,38,387,955,-1,-1
39,39,388,723,-1,-1
40,40,392,1447,-1,-1
41,41,427,715,-1,-1
42,42,440,841,-1,-1
43,43,444,901,-1,-1
44,44,472,478,-1,-1
45,45,487,1017,-1,-1
46,46,492,106,-1,-1
47,47,513,424,-1,-1
48,48,514,1295,-1,-1
49,49,516,904,-1,-1
50,50,518,763,-1,-1
51,51,519,1218,-1,-1
52,52,528,317,-1,-1
53,53,543,387,-1,-1
54,54,544,1007,-1,-1
55,55,560,277,-1,-1
56,56,561,595,-1,-1
57,57,564,397,-1,-1
58,58,564,502,-1,-1
59,59,584,832,-1,-1
60,60,597,1224,-1,-1
61,61,614,244,-1,-1
62,62,619,1208,-1,-1
63,63,638,431,-1,-1
64,64,651,939,-1,-1
65,65,652,1135,-1,-1
66,66,683,969,-1,-1
67,67,693,1147,-1,-1
68,68,694,1178,-1,-1
69,69,705,1476,-1,-1
70,70,708,1375,-1,-1
71,71,724,1345,-1,-1
72,72,726,222,-1,-1
73,73,732,910,-1,-1
74,74,760,425,-1,-1
75,75,779,274,-1,-1
76,76,788,1286,-1,-1
77,77,813,206,-1,-1
78,78,819,858,-1,-1
79,79,820,179,-1,-1
80,80,831,1253,-1,-1
81,81,836,559,-1,-1
82,82,841,962,-1,-1
83,83,848,1175,-1,-1
84,84,852,1318,-1,-1
85,85,867,701,-1,-1
86,86,870,1464,-1,-1
87,87,887,495,-1,-1
88,88,889,1473,-1,-1
89,89,902,677,-1,-1
90,90,914,524,-1,-1
91,91,929,339,-1,-1
92,92,953,200,-1,-1
93,93,957,159,-1,-1
94,94,960,1179,-1,-1
95,95,966,1254,-1,-1
96,96,969,1102,-1,-1
97,97,981,975,-1,-1
98,98,982,1358,-1,-1
99,99,986,1078,-1,-1
100,100,1007,860,-1,-1
101,101,1039,1036,-1,-1
102,102,1043,888,-1,-1
103,103,1049,1104,-1,-1
104,104,1088,139,-1,-1
105,105,1089,1183,-1,-1
106,106,1096,1244,-1,-1
107,107,1111,407,-1,-1
108,108,1119,890,-1,-1
109,109,1124,736,-1,-1
110,110,1131,488,-1,-1
111,111,1144,744,-1,-1
112,112,1150,1290,-1,-1
113,113,1154,1032,-1,-1
114,114,1163,214,-1,-1
115,115,1164,636,-1,-1
116,116,1171,141,-1,-1
117,117,1183,319,-1,-1
118,118,1187,200,-1,-1
119,119,1204,1137,-1,-1
120,120,1206,1052,-1,-1
121,121,1209,1035,-1,-1
122,122,1211,14,-1,-1
123,123,1211,1337,-1,-1
124,124,1214,1499,-1,-1
125,125,1217,142,-1,-1
126,126,1218,756,-1,-1
127,127,1230,353,-1,-1
128,128,1254,108,-1,-1
129,129,1254,1355,-1,-1
130,130,1257,256,-1,-1
131,131,1257,949,-1,-1
132,132,1284,453,-1,-1
133,133,1309,1477,-1,-1
134,134,1312,430,-1,-1
135,135,1320,251,-1,-1
136,136,1345,785,-1,-1
137,137,1356,597,-1,-1
138,138,1371,749,-1,-1
139,139,1377,1103,-1,-1
140,140,1377,1318,-1,-1
141,141,1382,1094,-1,-1
142,142,1385,1139,-1,-1
143,143,1386,1312,-1,-1
144,144,1405,708,-1,-1
145,145,1405,957,-1,-1
146,146,1414,876,-1,-1
147,147,1414,1282,-1,-1
148,148,1418,1377,-1,-1
149,149,1474,319,-1,-1
150,150,1485,224,-1,-1
