id,X,Y,group
0,304015.1622,2768330.6624,4
1,303908.04245,2767913.96285,12
2,304026.05345,2767873.4062,12
3,304154.42595,2768294.1521,5
4,304237.2778,2768274.12545,5
5,304347.0675,2768217.56775,7
6,304167.16705,2767962.36115,12
7,304203.09515,2767939.8896,5
8,304356.2236,2768074.2986,5
9,304353.75048,2768008.45883,1
10,304327.5532,2767893.1162,1
11,304459.8072,2768192.63345,7
12,304442.36785,2768089.6961,7
13,304568.03638,2768119.52658,7
14,304639.25862,2768161.42048,7
15,304449.66325,2767889.27375,1
16,303959.49795,2767747.4182,12
17,304085.0641,2767759.2218,12
18,303967.7304,2767582.1442,12
19,304023.4417,2767682.239,3
20,304102.7422,2767572.9307,12
21,304154.1162,2767698.69715,12
22,304176.29998,2767581.87198,3
23,304266.72005,2767726.9803,12
24,304282.8397,2767659.5191,1
25,304411.71227,2767736.82173,1
26,304465.41905,2767743.68165,6
27,304240.14305,2767506.1552,3
28,304353.47395,2767592.09995,1
29,304396.9366,2767487.0032,1
30,304352.44575,2767442.13375,10
31,304481.94815,2767417.8795,10
32,304193.4452,2767323.5453,11
33,304371.34615,2767383.51955,1
34,304837.5769,2768147.1276,6
35,304699.48205,2768036.889,6
36,304666.7554,2767937.8913,6
37,304791.68465,2768014.9868,6
38,304782.9013,2767912.35355,8
39,304975.67505,2768129.9318,6
40,304855.3209,2768004.7744,2
41,304942.1799,2767913.2142,9
42,304831.35395,2767614.99975,10
43,305101.9174,2767795.1977,9
44,305211.51395,2767641.1972,8
45,305013.3871,2767220.4254,8
46,305197.3889,2767396.0403,8
