id,name,ｘ,ｙ,weight,distance
1,公館捷運站 2號出口,303969.55971,2767513.6756,250,-1
3,科技大樓捷運站,304356.53082,2767225.1319,200,-1
4,公館公車站,304845.86764,2768776.1300,100,-1
5,新生南公車站-台大,303837.55566,2767917.2049,150,-1
6,新生南公車站-新體,303905.17724,2768275.7835,100,-1
7,長興男宿,305026.77649,2767737.4935,250,-1
8,社科院旁公車站,304592.49870,2768216.6107,150,-1
9,台大癌醫公車站,304748.88081,2767593.6706,50,-1
11,基隆路台科公車站,304519.11219,2767374.5882,100,-1
12,基隆路公館公車站,304355.86754,2767224.4982,50,-1
13,台電大樓公車站,303632.83230,2767844.2482,150,-1
