id,name,x,y,weight,distance
1,1,2,37,-1,50
2,2,3,142,-1,-1
3,3,15,50,-1,-1
4,4,15,154,-1,-1
5,5,16,17,-1,-1
6,6,18,211,-1,-1
7,7,21,138,-1,-1
8,8,27,107,-1,-1
9,9,33,265,-1,-1
10,10,37,135,-1,-1
11,11,60,118,-1,-1
12,12,64,68,-1,-1
13,13,64,227,-1,-1
14,14,67,217,-1,-1
15,15,73,282,-1,-1
16,16,83,35,-1,-1
17,17,91,271,-1,-1
18,18,114,68,-1,-1
19,19,115,180,-1,-1
20,20,126,37,-1,-1
21,21,129,271,-1,-1
22,22,131,49,-1,-1
23,23,134,194,-1,-1
24,24,140,152,-1,-1
25,25,150,293,-1,-1
26,26,155,32,-1,-1
27,27,156,275,-1,-1
28,28,160,42,-1,-1
29,29,163,100,-1,-1
30,30,185,269,-1,-1
31,31,189,260,-1,-1
32,32,191,15,-1,-1
33,33,196,195,-1,-1
34,34,202,65,-1,-1
35,35,210,31,-1,-1
36,36,214,143,-1,-1
37,37,219,223,-1,-1
38,38,220,179,-1,-1
39,39,220,223,-1,-1
40,40,230,207,-1,-1
41,41,245,51,-1,-1
42,42,248,283,-1,-1
43,43,253,202,-1,-1
44,44,274,92,-1,-1
45,45,274,102,-1,-1
46,46,277,185,-1,-1
47,47,281,277,-1,-1
48,48,282,185,-1,-1
49,49,288,295,-1,-1
50,50,298,109,-1,-1
