id,name,x,y,weight,distance
1,1,4,720,-1,800
2,2,4,6264,-1,-1
3,3,5,7957,-1,-1
4,4,6,5867,-1,-1
5,5,6,6029,-1,-1
6,6,9,6755,-1,-1
7,7,9,7961,-1,-1
8,8,18,1147,-1,-1
9,9,18,2273,-1,-1
10,10,19,634,-1,-1
11,11,28,5953,-1,-1
12,12,28,9158,-1,-1
13,13,30,6478,-1,-1
14,14,32,7261,-1,-1
15,15,34,7296,-1,-1
16,16,41,4034,-1,-1
17,17,44,2877,-1,-1
18,18,44,9926,-1,-1
19,19,47,9292,-1,-1
20,20,48,3254,-1,-1
21,21,51,9637,-1,-1
22,22,52,7756,-1,-1
23,23,54,6280,-1,-1
24,24,55,4394,-1,-1
25,25,60,2790,-1,-1
26,26,60,7194,-1,-1
27,27,63,4158,-1,-1
28,28,64,1149,-1,-1
29,29,64,3307,-1,-1
30,30,67,3091,-1,-1
31,31,69,1631,-1,-1
32,32,71,5337,-1,-1
33,33,74,4630,-1,-1
34,34,75,9240,-1,-1
35,35,79,7504,-1,-1
36,36,81,615,-1,-1
37,37,84,4270,-1,-1
38,38,87,6614,-1,-1
39,39,95,6922,-1,-1
40,40,96,1541,-1,-1
41,41,105,4963,-1,-1
42,42,111,1428,-1,-1
43,43,112,9522,-1,-1
44,44,113,3536,-1,-1
45,45,113,8074,-1,-1
46,46,120,1580,-1,-1
47,47,122,8234,-1,-1
48,48,124,4979,-1,-1
49,49,136,3254,-1,-1
50,50,137,3400,-1,-1
51,51,141,5938,-1,-1
52,52,145,2817,-1,-1
53,53,149,4780,-1,-1
54,54,157,446,-1,-1
55,55,159,3168,-1,-1
56,56,162,9932,-1,-1
57,57,166,4726,-1,-1
58,58,166,9624,-1,-1
59,59,172,4092,-1,-1
60,60,173,625,-1,-1
61,61,181,9213,-1,-1
62,62,188,1028,-1,-1
63,63,190,3881,-1,-1
64,64,194,8182,-1,-1
65,65,198,6870,-1,-1
66,66,200,6628,-1,-1
67,67,200,8877,-1,-1
68,68,201,1170,-1,-1
69,69,202,2217,-1,-1
70,70,204,7079,-1,-1
71,71,206,1662,-1,-1
72,72,210,3231,-1,-1
73,73,214,4062,-1,-1
74,74,215,6588,-1,-1
75,75,218,5368,-1,-1
76,76,226,255,-1,-1
77,77,232,2718,-1,-1
78,78,232,9052,-1,-1
79,79,234,2505,-1,-1
80,80,235,817,-1,-1
81,81,240,8264,-1,-1
82,82,246,7245,-1,-1
83,83,249,7760,-1,-1
84,84,254,9793,-1,-1
85,85,259,351,-1,-1
86,86,260,7217,-1,-1
87,87,268,4718,-1,-1
88,88,269,374,-1,-1
89,89,270,2562,-1,-1
90,90,270,9823,-1,-1
91,91,276,3920,-1,-1
92,92,279,2921,-1,-1
93,93,282,3017,-1,-1
94,94,283,7523,-1,-1
95,95,291,5526,-1,-1
96,96,304,7538,-1,-1
97,97,307,1136,-1,-1
98,98,309,6527,-1,-1
99,99,310,1938,-1,-1
100,100,312,552,-1,-1
101,101,312,6952,-1,-1
102,102,314,1793,-1,-1
103,103,314,2468,-1,-1
104,104,317,5759,-1,-1
105,105,319,4296,-1,-1
106,106,327,8114,-1,-1
107,107,331,5195,-1,-1
108,108,338,1116,-1,-1
109,109,346,6992,-1,-1
110,110,353,4718,-1,-1
111,111,354,974,-1,-1
112,112,356,3160,-1,-1
113,113,360,35,-1,-1
114,114,363,3935,-1,-1
115,115,365,1799,-1,-1
116,116,366,1203,-1,-1
117,117,367,3223,-1,-1
118,118,371,4343,-1,-1
119,119,372,3029,-1,-1
120,120,377,8361,-1,-1
121,121,380,175,-1,-1
122,122,380,8530,-1,-1
123,123,383,1800,-1,-1
124,124,383,8183,-1,-1
125,125,385,8381,-1,-1
126,126,388,9223,-1,-1
127,127,392,8517,-1,-1
128,128,393,1656,-1,-1
129,129,407,7417,-1,-1
130,130,411,1418,-1,-1
131,131,414,2275,-1,-1
132,132,414,2951,-1,-1
133,133,417,920,-1,-1
134,134,419,3995,-1,-1
135,135,423,5173,-1,-1
136,136,424,2916,-1,-1
137,137,425,7355,-1,-1
138,138,428,2481,-1,-1
139,139,428,7315,-1,-1
140,140,430,9375,-1,-1
141,141,436,3335,-1,-1
142,142,438,3469,-1,-1
143,143,440,1179,-1,-1
144,144,440,4428,-1,-1
145,145,444,9703,-1,-1
146,146,448,7750,-1,-1
147,147,457,5525,-1,-1
148,148,466,7534,-1,-1
149,149,469,1010,-1,-1
150,150,472,7315,-1,-1
151,151,475,7933,-1,-1
152,152,478,1488,-1,-1
153,153,481,9868,-1,-1
154,154,482,1288,-1,-1
155,155,482,5240,-1,-1
156,156,483,4285,-1,-1
157,157,487,6188,-1,-1
158,158,489,3729,-1,-1
159,159,490,8958,-1,-1
160,160,493,3967,-1,-1
161,161,494,7336,-1,-1
162,162,496,5493,-1,-1
163,163,497,1766,-1,-1
164,164,500,5374,-1,-1
165,165,503,4894,-1,-1
166,166,508,4611,-1,-1
167,167,510,5152,-1,-1
168,168,512,2870,-1,-1
169,169,519,5299,-1,-1
170,170,521,2518,-1,-1
171,171,523,451,-1,-1
172,172,523,7637,-1,-1
173,173,526,1794,-1,-1
174,174,526,8102,-1,-1
175,175,532,6626,-1,-1
176,176,538,1530,-1,-1
177,177,542,6407,-1,-1
178,178,544,4790,-1,-1
179,179,549,3031,-1,-1
180,180,551,2964,-1,-1
181,181,551,4091,-1,-1
182,182,556,6533,-1,-1
183,183,563,2123,-1,-1
184,184,568,6957,-1,-1
185,185,570,8484,-1,-1
186,186,575,3554,-1,-1
187,187,584,9499,-1,-1
188,188,585,1683,-1,-1
189,189,589,5942,-1,-1
190,190,602,4867,-1,-1
191,191,606,7787,-1,-1
192,192,607,4237,-1,-1
193,193,609,4262,-1,-1
194,194,612,9015,-1,-1
195,195,614,4050,-1,-1
196,196,614,7495,-1,-1
197,197,615,378,-1,-1
198,198,617,5219,-1,-1
199,199,620,1641,-1,-1
200,200,623,4581,-1,-1
201,201,626,4804,-1,-1
202,202,626,5373,-1,-1
203,203,638,2409,-1,-1
204,204,640,1457,-1,-1
205,205,642,4106,-1,-1
206,206,648,1777,-1,-1
207,207,651,7717,-1,-1
208,208,653,9676,-1,-1
209,209,656,7370,-1,-1
210,210,659,8558,-1,-1
211,211,664,4282,-1,-1
212,212,668,4624,-1,-1
213,213,672,6970,-1,-1
214,214,676,1416,-1,-1
215,215,677,9141,-1,-1
216,216,683,627,-1,-1
217,217,685,4668,-1,-1
218,218,685,9078,-1,-1
219,219,706,9376,-1,-1
220,220,717,3763,-1,-1
221,221,718,8578,-1,-1
222,222,722,8371,-1,-1
223,223,724,7430,-1,-1
224,224,733,586,-1,-1
225,225,749,626,-1,-1
226,226,749,5399,-1,-1
227,227,751,7571,-1,-1
228,228,753,1425,-1,-1
229,229,757,3230,-1,-1
230,230,758,5958,-1,-1
231,231,758,8020,-1,-1
232,232,759,7749,-1,-1
233,233,761,9933,-1,-1
234,234,762,7376,-1,-1
235,235,764,4354,-1,-1
236,236,766,4190,-1,-1
237,237,772,2168,-1,-1
238,238,779,150,-1,-1
239,239,782,2220,-1,-1
240,240,784,6870,-1,-1
241,241,785,1497,-1,-1
242,242,785,4826,-1,-1
243,243,785,8324,-1,-1
244,244,786,2184,-1,-1
245,245,792,3075,-1,-1
246,246,796,6207,-1,-1
247,247,798,4664,-1,-1
248,248,807,2482,-1,-1
249,249,807,4983,-1,-1
250,250,813,8589,-1,-1
251,251,814,2474,-1,-1
252,252,815,1112,-1,-1
253,253,827,4245,-1,-1
254,254,832,8498,-1,-1
255,255,838,4638,-1,-1
256,256,842,1388,-1,-1
257,257,844,6612,-1,-1
258,258,852,9714,-1,-1
259,259,854,7313,-1,-1
260,260,855,5740,-1,-1
261,261,856,1596,-1,-1
262,262,867,4790,-1,-1
263,263,869,7708,-1,-1
264,264,872,7513,-1,-1
265,265,877,132,-1,-1
266,266,879,3023,-1,-1
267,267,880,1732,-1,-1
268,268,882,7404,-1,-1
269,269,883,6044,-1,-1
270,270,884,1868,-1,-1
271,271,884,6227,-1,-1
272,272,884,6932,-1,-1
273,273,885,3307,-1,-1
274,274,886,504,-1,-1
275,275,891,8233,-1,-1
276,276,896,8113,-1,-1
277,277,900,61,-1,-1
278,278,907,6342,-1,-1
279,279,909,2391,-1,-1
280,280,912,8045,-1,-1
