Data name,Number of facility,Max distance,Average distance
001.csv,2,4.000000001198795,3.3333333337408195
002.csv,4,3.000000000078863,2.0000000000473177
003.csv,7,2.0000000013092034,1.894736842106092
004.csv,6,2.5000000008123244,2.184210526367675
005.csv,5,3.0000000012934294,2.3684210528183707
006.csv,4,3.500000000749237,2.7631578946957474
007.csv,4,4.000000001261885,3.105263157969452
008.csv,3,4.500000000749232,3.6578947370193506
009.csv,3,5.000000001309187,3.5789473685704833
010.csv,3,5.500000000654602,3.97368421040635
011.csv,21,3.0000000013092034,2.5400000003239875
012.csv,16,4.000000001246114,3.3000000000280743
013.csv,13,5.000000001261888,4.0400000000347
014.csv,10,6.000000001293429,4.560000000192438
015.csv,8,7.000000001309203,5.48000000008202
016.csv,42,10.000000001309303,9.860000000457832
017.csv,30,20.00000000130936,18.60000000015178
018.csv,20,30.000000001246207,26.340000000109843
019.csv,16,40.00000000112,31.539999999960305
020.csv,12,50.000000001198885,39.17999999993028
021.csv,65,50.00000000131058,46.66000000018325
022.csv,27,150.00000000116756,112.30000000001343
023.csv,14,250.0000000013091,183.61000000000251
024.csv,8,350.0000000013083,249.9900000000456
025.csv,7,450.0000000011996,298.9799999998518
026.csv,98,50.000000001309786,46.34000000013852
027.csv,31,150.00000000127824,118.15333333338602
028.csv,16,250.00000000124334,169.3533333333329
029.csv,9,350.000000001025,237.82666666666321
030.csv,7,450.0000000012633,272.43333333334374
