Data name,Number of facility,Max distance,Average distance
001.csv,2,4.0,3.6666666666666665
002.csv,4,3.0000000000000018,2.5000000000000004
003.csv,9,2.0000000000000044,1.789473684210527
004.csv,7,2.5000000000000044,2.0263157894736845
005.csv,5,3.000000000000002,2.3684210526315788
006.csv,5,3.5000000000000044,2.7631578947368425
007.csv,4,4.000000000000003,3.105263157894737
008.csv,3,4.500000000000001,3.236842105263158
009.csv,3,5.0,3.8421052631578947
010.csv,3,5.5000000000000036,3.815789473684211
